"Sample" "Detector" "Cq"
"1024V11a" "ACTB_RQ" 0.0475251766106507
"1024V11a" "B2M_RQ" 0.13292700140973
"1024V11a" "RPL29_RQ" 0.128518836088935
"1024V11c" "ACTB_RQ" 0.0653339768252466
"1024V11c" "B2M_RQ" 0.102596902939571
"1024V11c" "RPL29_RQ" 0.099905191288062
"1025S2a" "ACTB_RQ" 0.45968937253028
"1025S2a" "B2M_RQ" 0.137048403775571
"1025S2a" "RPL29_RQ" 0.727812897196637
"1025S2c" "ACTB_RQ" 0.120636090154902
"1025S2c" "B2M_RQ" 0.0526152116644195
"1025S2c" "RPL29_RQ" 0.299123705627477
"1025V10a" "ACTB_RQ" 0.591121477533919
"1025V10a" "B2M_RQ" 0.700264474839416
"1025V10a" "RPL29_RQ" 0.521343958027694
"1025V10c" "ACTB_RQ" 0.377078426917844
"1025V10c" "B2M_RQ" 0.474401999690576
"1025V10c" "RPL29_RQ" 0.560474747097033
"1025V12a" "ACTB_RQ" 0.80555089522693
"1025V12a" "B2M_RQ" 0.255321196118252
"1025V12a" "RPL29_RQ" 0.80550044742563
"1025V12c" "ACTB_RQ" 0.0120732023436586
"1025V12c" "B2M_RQ" 0.00278669141372129
"1025V12c" "RPL29_RQ" 0.0283623289211794
"1027S2a" "ACTB_RQ" 0.0212684741441985
"1027S2a" "B2M_RQ" 0.0907750377603077
"1027S2a" "RPL29_RQ" 0.244640148968802
"1027S2c" "ACTB_RQ" 0.0587035085269614
"1027S2c" "B2M_RQ" 0.0821336029406713
"1027S2c" "RPL29_RQ" 0.463948960953905
"1027V10a" "ACTB_RQ" 0.637668724246542
"1027V10a" "B2M_RQ" 1
"1027V10a" "RPL29_RQ" 0.176610236985777
"1027V10c" "ACTB_RQ" 0.0954648355737563
"1027V10c" "B2M_RQ" 0.261177520296573
"1027V10c" "RPL29_RQ" 0.386652289825557
"1027V12a" "ACTB_RQ" 0.213770342584026
"1027V12a" "B2M_RQ" 0.339310113077922
"1027V12a" "RPL29_RQ" 0.228272221053633
"1027V12c" "ACTB_RQ" 0.0918105767471373
"1027V12c" "B2M_RQ" 0.129636704853316
"1027V12c" "RPL29_RQ" 0.325715274041869
"1028S2a" "ACTB_RQ" 0.179204106275007
"1028S2a" "B2M_RQ" 0.0762173568641464
"1028S2a" "RPL29_RQ" 0.136185173711
"1028S2c" "ACTB_RQ" 0.0714066877986517
"1028S2c" "B2M_RQ" 0.0240788795350021
"1028S2c" "RPL29_RQ" 0.164921969182147
"1028V10a" "ACTB_RQ" 0.0600929049611167
"1028V10a" "B2M_RQ" 0.0913917042166858
"1028V10a" "RPL29_RQ" 0.165574090683397
"1028V10c" "ACTB_RQ" 0.22053650043409
"1028V10c" "B2M_RQ" 0.165489188046419
"1028V10c" "RPL29_RQ" 0.206473081942497
"1028V11a" "ACTB_RQ" 0.128556256319603
"1028V11a" "B2M_RQ" 0.0924098052311767
"1028V11a" "RPL29_RQ" 0.217142109118634
"1028V11c" "ACTB_RQ" 0.169751004190068
"1028V11c" "B2M_RQ" 0.127367760924617
"1028V11c" "RPL29_RQ" 0.306079604892812
"1029S2a" "ACTB_RQ" 0.0456168696714322
"1029S2a" "B2M_RQ" 0.0334809016576912
"1029S2a" "RPL29_RQ" 0.157106118990261
"1029S2c" "ACTB_RQ" 0.0565331700512537
"1029S2c" "B2M_RQ" 0.0167891739665073
"1029S2c" "RPL29_RQ" 0.22178674271209
"1029V10a" "ACTB_RQ" 0.771611250900655
"1029V10a" "B2M_RQ" 0.360880160039894
"1029V10a" "RPL29_RQ" 0.607084271224169
"1029V10c" "ACTB_RQ" 1
"1029V10c" "B2M_RQ" 0.531942033821906
"1029V10c" "RPL29_RQ" 0.591166426160241
"1029V11a" "ACTB_RQ" 0.216036960064272
"1029V11a" "B2M_RQ" 0.229953662539441
"1029V11a" "RPL29_RQ" 0.396400289042769
"1029V11c" "ACTB_RQ" 0.126367125303308
"1029V11c" "B2M_RQ" 0.155099000549985
"1029V11c" "RPL29_RQ" 0.262104226708696
"1030S2a" "ACTB_RQ" 0.0609554695650004
"1030S2a" "B2M_RQ" 0.0540074508142902
"1030S2a" "RPL29_RQ" 0.253672581050454
"1030S2c" "ACTB_RQ" 0.0257354357297547
"1030S2c" "B2M_RQ" 0.0234477840910424
"1030S2c" "RPL29_RQ" 0.250568447854171
"1030V10a" "ACTB_RQ" 0.19569172414279
"1030V10a" "B2M_RQ" 0.334881359094004
"1030V10a" "RPL29_RQ" 0.268506968955379
"1030V10c" "ACTB_RQ" 0.0581128674434073
"1030V10c" "B2M_RQ" 0.0602685169708908
"1030V10c" "RPL29_RQ" 0.0762149553969286
"1030V11a" "ACTB_RQ" 0.127051712132037
"1030V11a" "B2M_RQ" 0.212987706661676
"1030V11a" "RPL29_RQ" 0.23975222255205
"1030V11c" "ACTB_RQ" 0.109181824494009
"1030V11c" "B2M_RQ" 0.203521552957916
"1030V11c" "RPL29_RQ" 0.233980043733473
"1031S2a" "ACTB_RQ" 0.175810385828458
"1031S2a" "B2M_RQ" 0.150485086170686
"1031S2a" "RPL29_RQ" 0.280359036165503
"1031S2c" "ACTB_RQ" 0.0124944101782549
"1031S2c" "B2M_RQ" 0.0883453161702741
"1031S2c" "RPL29_RQ" 0.0943928575076859
"1031V10a" "ACTB_RQ" 0.0936672283780314
"1031V10a" "B2M_RQ" 0.261837571585977
"1031V10a" "RPL29_RQ" 0.226966265169088
"1031V10c" "ACTB_RQ" 0.00298903127098163
"1031V10c" "B2M_RQ" 0.0112951115889272
"1031V10c" "RPL29_RQ" 0.0134654825014153
"1031V12a" "ACTB_RQ" 0.202074625194375
"1031V12a" "B2M_RQ" 0.29988084765559
"1031V12a" "RPL29_RQ" 0.446315533709247
"1031V12c" "ACTB_RQ" 0.0328291140556554
"1031V12c" "B2M_RQ" 0.0764546758307755
"1031V12c" "RPL29_RQ" 0.215896349953129
"1034S2a" "ACTB_RQ" 0.0422373645205988
"1034S2a" "B2M_RQ" 0.0231331019508685
"1034S2a" "RPL29_RQ" 0.123009409349954
"1034S2c" "ACTB_RQ" 0.00906467484158102
"1034S2c" "B2M_RQ" 0.00281920007777864
"1034S2c" "RPL29_RQ" 0.0314357125750105
"1034V10a" "ACTB_RQ" 0.778263022282392
"1034V10a" "B2M_RQ" 0.471797978811404
"1034V10a" "RPL29_RQ" 0.554090646379276
"1034V10c" "ACTB_RQ" 0.153674422107862
"1034V10c" "B2M_RQ" 0.114428541850169
"1034V10c" "RPL29_RQ" 0.064106968684969
"1034V12a" "ACTB_RQ" 0.250192723177214
